id type coord corners
39 Polygon "world_deg" "278.3786 -5.132452 278.3813 -5.13023 278.3864 -5.13023 278.3903 -5.132171 278.3914 -5.140218 278.3878 -5.143268 278.385 -5.149657 278.3808 -5.151605"
40 Polygon "world_deg" "278.3061 -4.901887 278.3083 -4.897451 278.3114 -4.89634 278.3125 -4.893285 278.3158 -4.892171 278.3158 -4.89634 278.3189 -4.897452 278.3203 -4.900221 278.3189 -4.904657 278.3119 -4.909379 278.3083 -4.906323"
41 Polygon "world_deg" "278.2838 -5.012168 278.291 -5.011061 278.2943 -5.014386 278.2929 -5.018822 278.2868 -5.02271 278.2835 -5.020215"
42 Polygon "world_deg" "278.3445 -4.828559 278.3462 -4.826898 278.349 -4.827453 278.3518 -4.833009 278.359 -4.83912 278.3571 -4.841881 278.3518 -4.841325 278.3468 -4.836325"
43 Polygon "world_deg" "278.4751 -5.12272 278.4837 -5.125774 278.4851 -5.128543 278.4776 -5.136036 278.4712 -5.134095"
44 Polygon "world_deg" "278.3819 -5.172163 278.3791 -5.170771 278.3788 -5.166891 278.3827 -5.159952 278.3866 -5.161618 278.3869 -5.16634 278.3958 -5.166618 278.3981 -5.171056 278.3972 -5.175223 278.4031 -5.183556 278.4025 -5.186323 278.3984 -5.18827 278.3925 -5.179101 278.383 -5.178546 278.3814 -5.176885"
45 Polygon "world_deg" "278.3019 -5.006062 278.3061 -5.006895 278.3136 -5.004396 278.3166 -5.011335 278.3144 -5.013546 278.3002 -5.015211 278.2943 -5.018544 278.2935 -5.016055 278.2957 -5.00995"
46 Polygon "world_deg" "278.2762 -5.01717 278.2807 -5.012448 278.2832 -5.012168 278.2837 -5.022988 278.2779 -5.02882 278.2726 -5.031042 278.2679 -5.029933 278.2662 -5.02383"
47 Polygon "world_deg" "278.388 -4.977724 278.3897 -4.976063 278.3986 -4.978004 278.3997 -4.986885 278.3972 -4.989379 278.3919 -4.987991"
48 Polygon "world_deg" "278.3663 -5.166052 278.3677 -5.159119 278.3713 -5.156063 278.3758 -5.156619 278.3755 -5.162724 278.3788 -5.166891 278.3788 -5.170219 278.3755 -5.17188 278.3694 -5.170491"
49 Polygon "world_deg" "278.4349 -5.062718 278.4366 -5.061059 278.4402 -5.060503 278.4463 -5.05328 278.4485 -5.05328 278.4499 -5.055218 278.4499 -5.061052 278.4533 -5.069382 278.4508 -5.074374 278.4474 -5.074374 278.4388 -5.06882"
50 Polygon "world_deg" "278.3864 -4.946885 278.3847 -4.941891 278.3872 -4.94023 278.3947 -4.94273 278.3972 -4.942729 278.4006 -4.940229 278.4039 -4.941896 278.4073 -4.941062 278.4087 -4.942167 278.4073 -4.944387 278.4089 -4.946887 278.4039 -4.954379 278.3997 -4.953546 278.3872 -4.955213 278.3855 -4.953555"
51 Polygon "world_deg" "278.2935 -5.092722 278.3069 -5.091062 278.3111 -5.095223 278.3086 -5.102712 278.306 -5.101045 278.2974 -5.100489"
52 Polygon "world_deg" "278.3342 -5.086619 278.3362 -5.08523 278.3381 -5.086619 278.3401 -5.091341 278.3462 -5.091064 278.3479 -5.092722 278.3448 -5.097158 278.3387 -5.101047 278.3328 -5.098547 278.3267 -5.098824 278.3267 -5.096619 278.3298 -5.095508"
53 Polygon "world_deg" "278.2957 -5.08495 278.301 -5.082728 278.3077 -5.082729 278.3094 -5.08439 278.3069 -5.091045 278.2952 -5.091877 278.2935 -5.090219"
54 Polygon "world_deg" "278.3362 -5.033552 278.337 -5.029391 278.3406 -5.029119 278.3417 -5.031341 278.3448 -5.032453 278.3454 -5.036058 278.3476 -5.038836 278.3445 -5.04188 278.3409 -5.040491 278.3392 -5.037161 278.3373 -5.037439"
55 Polygon "world_deg" "278.2126 -5.127153 278.2176 -5.125493 278.2157 -5.12104 278.2182 -5.117715 278.2363 -5.115494 278.2416 -5.128545 278.2369 -5.138819 278.2399 -5.141878 278.2349 -5.148535 278.226 -5.140756 278.2227 -5.141591 278.2227 -5.135755 278.2201 -5.135482 278.2196 -5.140754 278.2162 -5.138809"
56 Polygon "world_deg" "278.3593 -5.185785 278.3652 -5.179119 278.3688 -5.17773 278.3724 -5.179952 278.3735 -5.183007 278.3802 -5.185504 278.3813 -5.187721 278.3755 -5.191046 278.3618 -5.191324 278.3588 -5.186888"
